instance_type,command
m4.xlarge,julia run.jl PAJ_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
m4.xlarge,julia run.jl PAJ_NOPASS_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
m4.xlarge,julia run.jl PAJ_NODIS_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
m4.xlarge,julia run.jl PAJ_NOSOCINIT_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
m4.xlarge,julia run.jl PAJ_ROUND_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
m4.xlarge,julia run.jl PAJ_NORELAX_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
m4.xlarge,julia run.jl PAJ_SUBOPT-2-1_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
m4.xlarge,julia run.jl PAJ_SUBOPT-8-1_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
m4.xlarge,julia run.jl PAJ_SUBOPT-2-10_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
m4.xlarge,julia run.jl PAJ_SUBOPT-8-10_CBC_MOSEK 3600 data/ estein/estein4_A.cbf.gz topopt-truss/achtziger_stolpe06-61flowc.cbf.gz
