solver,instance,status,objval,objbound,solvertime,totaltime,filename
BONMIN_BB,200_0_5_w, , , , , ,BONMIN_BB.200_0_5_w.cbf.gz.txt
BONMIN_BB,75_0_5_w, , , , , ,BONMIN_BB.75_0_5_w.cbf.gz.txt
BONMIN_BB,ck_n75_m20_o3_5, , , , , ,BONMIN_BB.ck_n75_m20_o3_5.cbf.gz.txt
BONMIN_BB,ck_n75_m20_o5_5, , , , , ,BONMIN_BB.ck_n75_m20_o5_5.cbf.gz.txt
BONMIN_BB,uflquad-nopsc-10-100, , , , , ,BONMIN_BB.uflquad-nopsc-10-100.cbf.gz.txt
BONMIN_BB,uflquad-nopsc-20-100, , , , , ,BONMIN_BB.uflquad-nopsc-20-100.cbf.gz.txt
BONMIN_BB,uflquad-nopsc-30-100, , , , , ,BONMIN_BB.uflquad-nopsc-30-100.cbf.gz.txt
BONMIN_BB,uflquad-nopsc-30-150, , , , , ,BONMIN_BB.uflquad-nopsc-30-150.cbf.gz.txt
BONMIN_BB,uflquad-nopsc-30-200, , , , , ,BONMIN_BB.uflquad-nopsc-30-200.cbf.gz.txt
BONMIN_BB,uflquad-psc-20-150, , , , , ,BONMIN_BB.uflquad-psc-20-150.cbf.gz.txt
BONMIN_BB,uflquad-psc-30-100, , , , , ,BONMIN_BB.uflquad-psc-30-100.cbf.gz.txt
BONMIN_BB,uflquad-psc-30-150, , , , , ,BONMIN_BB.uflquad-psc-30-150.cbf.gz.txt
BONMIN_BB,uflquad-psc-30-200, , , , , ,BONMIN_BB.uflquad-psc-30-200.cbf.gz.txt
BONMIN_BB,uflquad-psc-30-300, , , , , ,BONMIN_BB.uflquad-psc-30-300.cbf.gz.txt
BONMIN_OA,75_0_5_w, , , , , ,BONMIN_OA.75_0_5_w.cbf.gz.txt
BONMIN_OA,achtziger_stolpe06-62flowc, , , , , ,BONMIN_OA.achtziger_stolpe06-62flowc.cbf.gz.txt
BONMIN_OA,achtziger_stolpe06-65bflowc, , , , , ,BONMIN_OA.achtziger_stolpe06-65bflowc.cbf.gz.txt
BONMIN_OA,achtziger_stolpe06-65flowc, , , , , ,BONMIN_OA.achtziger_stolpe06-65flowc.cbf.gz.txt
BONMIN_OA,achtziger_stolpe07-51flowc, , , , , ,BONMIN_OA.achtziger_stolpe07-51flowc.cbf.gz.txt
BONMIN_OA,achtziger_stolpe07-52bflowc, , , , , ,BONMIN_OA.achtziger_stolpe07-52bflowc.cbf.gz.txt
BONMIN_OA,achtziger_stolpe07-53flowc, , , , , ,BONMIN_OA.achtziger_stolpe07-53flowc.cbf.gz.txt
BONMIN_OA,b1bigflowc, , , , , ,BONMIN_OA.b1bigflowc.cbf.gz.txt
BONMIN_OA,ck_n75_m10_o5_5, , , , , ,BONMIN_OA.ck_n75_m10_o5_5.cbf.gz.txt
BONMIN_OA,estein5_A, , , , , ,BONMIN_OA.estein5_A.cbf.gz.txt
BONMIN_OA,estein5_B, , , , , ,BONMIN_OA.estein5_B.cbf.gz.txt
BONMIN_OA,estein5_C, , , , , ,BONMIN_OA.estein5_C.cbf.gz.txt
BONMIN_OA,estein5_nr1, , , , , ,BONMIN_OA.estein5_nr1.cbf.gz.txt
BONMIN_OA,stolpe07-82flowc, , , , , ,BONMIN_OA.stolpe07-82flowc.cbf.gz.txt
BONMIN_OA,uflquad-nopsc-30-150, , , , , ,BONMIN_OA.uflquad-nopsc-30-150.cbf.gz.txt
BONMIN_OA,uflquad-nopsc-30-200, , , , , ,BONMIN_OA.uflquad-nopsc-30-200.cbf.gz.txt
BONMIN_OA,uflquad-nopsc-30-300, , , , , ,BONMIN_OA.uflquad-nopsc-30-300.cbf.gz.txt
BONMIN_OA,uflquad-psc-20-100, , , , , ,BONMIN_OA.uflquad-psc-20-100.cbf.gz.txt
BONMIN_OA,uflquad-psc-20-150, , , , , ,BONMIN_OA.uflquad-psc-20-150.cbf.gz.txt
BONMIN_OA,uflquad-psc-30-100, , , , , ,BONMIN_OA.uflquad-psc-30-100.cbf.gz.txt
BONMIN_OA,uflquad-psc-30-150, , , , , ,BONMIN_OA.uflquad-psc-30-150.cbf.gz.txt
BONMIN_OA,uflquad-psc-30-200, , , , , ,BONMIN_OA.uflquad-psc-30-200.cbf.gz.txt
BONMIN_OA,uflquad-psc-30-300, , , , , ,BONMIN_OA.uflquad-psc-30-300.cbf.gz.txt
BONMIN_OADIS,75_0_5_w, , , , , ,BONMIN_OADIS.75_0_5_w.cbf.gz.txt
BONMIN_OADIS,achtziger_stolpe06-62flowc, , , , , ,BONMIN_OADIS.achtziger_stolpe06-62flowc.cbf.gz.txt
BONMIN_OADIS,achtziger_stolpe06-65bflowc, , , , , ,BONMIN_OADIS.achtziger_stolpe06-65bflowc.cbf.gz.txt
BONMIN_OADIS,achtziger_stolpe06-65flowc, , , , , ,BONMIN_OADIS.achtziger_stolpe06-65flowc.cbf.gz.txt
