WARNING: Method definition require(Symbol) in module Base at loading.jl:345 overwritten in module ConicBenchmarkUtilities at /home/ubuntu/.julia/v0.5/Requires/src/require.jl:12.
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
WARNING: Base.ASCIIString is deprecated, use String instead.
  likely near /home/ubuntu/run.jl:185
#SOLVERNAME# MOSEK_MISOCP
#SOLVER# Mosek.MosekMathProgSolverInterface.MosekSolver(Any[(:LOG,1),(:NUM_THREADS,1),(:OPTIMIZER_MAX_TIME,3600.0),(:MIO_TOL_REL_GAP,1.0e-5)])
#FILENAME# classical_200_2.cbf.gz
#INSTANCE# classical_200_2
#TIMELIMIT# 3600.0
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 1005            
  Cones                  : 1               
  Scalar variables       : 803             
  Matrix variables       : 0               
  Integer variables      : 200             

Optimizer started.
Mixed integer optimizer started.
Threads used: 1
Presolve started.
Presolve terminated. Time = 0.40
Presolved problem: 601 variables, 402 constraints, 41000 non-zeros
Presolved problem: 0 general integer, 200 binary, 401 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   -1.2462894981e-01    NA          0.5   
0        1        0        0        -1.0710446739e-01    -1.2462894981e-01    16.36       1.3   
Cut generation started.
0        2        0        0        -1.0710446739e-01    -1.2462894981e-01    16.36       1.5   
Cut generation terminated. Time = 0.16
15       18       16       8        -1.0710446739e-01    -1.2462799282e-01    16.36       2.9   
31       34       16       17       -1.0710446739e-01    -1.2462799282e-01    16.36       3.6   
47       50       16       25       -1.0710446739e-01    -1.2462799282e-01    16.36       4.3   
63       66       16       33       -1.0710446739e-01    -1.2462799282e-01    16.36       5.0   
79       82       18       7        -1.0710446739e-01    -1.2462799282e-01    16.36       5.7   
97       100      34       13       -1.0710446739e-01    -1.2453142006e-01    16.27       7.0   
129      132      42       23       -1.0710446739e-01    -1.2396365654e-01    15.74       8.7   
161      164      48       20       -1.0710446739e-01    -1.2395858124e-01    15.74       10.3  
193      196      52       32       -1.0725840485e-01    -1.2384692319e-01    15.47       11.8  
225      228      64       11       -1.0725840485e-01    -1.2384692319e-01    15.47       13.4  
257      260      70       24       -1.0725840485e-01    -1.2374514461e-01    15.37       15.0  
290      293      81       12       -1.0725840485e-01    -1.2372922166e-01    15.36       16.8  
323      326      80       29       -1.0725840485e-01    -1.2372922166e-01    15.36       18.2  
356      359      81       45       -1.0725840485e-01    -1.2372922166e-01    15.36       19.5  
388      391      81       61       -1.0725840485e-01    -1.2372922166e-01    15.36       20.5  
421      424      80       78       -1.0725840485e-01    -1.2372922166e-01    15.36       21.5  
454      457      81       94       -1.0725840485e-01    -1.2372922166e-01    15.36       22.4  
486      489      81       110      -1.0725840485e-01    -1.2372922166e-01    15.36       23.1  
519      522      80       127      -1.0725840485e-01    -1.2372922166e-01    15.36       23.7  
552      555      81       143      -1.0725840485e-01    -1.2372922166e-01    15.36       24.2  
585      588      80       160      -1.0725840485e-01    -1.2372922166e-01    15.36       24.7  
618      621      81       24       -1.0725840485e-01    -1.2372877462e-01    15.36       25.5  
650      653      89       34       -1.0725840485e-01    -1.2372877462e-01    15.36       27.1  
680      683      107      51       -1.0725840485e-01    -1.2364699324e-01    15.28       28.8  
712      715      125      11       -1.0725840485e-01    -1.2364667934e-01    15.28       30.5  
745      748      130      13       -1.0725840485e-01    -1.2340299779e-01    15.05       32.2  
778      781      137      26       -1.0725840485e-01    -1.2340299779e-01    15.05       33.8  
811      814      142      35       -1.0725840485e-01    -1.2340299779e-01    15.05       35.3  
844      847      143      51       -1.0725840485e-01    -1.2340299779e-01    15.05       36.5  
876      879      143      67       -1.0725840485e-01    -1.2340299779e-01    15.05       37.6  
909      912      142      84       -1.0725840485e-01    -1.2340299779e-01    15.05       38.5  
942      945      143      100      -1.0725840485e-01    -1.2340299779e-01    15.05       39.3  
975      978      142      117      -1.0725840485e-01    -1.2340299779e-01    15.05       40.0  
1007     1010     142      133      -1.0725840485e-01    -1.2340299779e-01    15.05       40.6  
1040     1043     143      149      -1.0725840485e-01    -1.2340299779e-01    15.05       41.1  
1073     1076     142      166      -1.0725840485e-01    -1.2340299779e-01    15.05       41.6  
1106     1109     143      182      -1.0725840485e-01    -1.2340299779e-01    15.05       42.0  
1139     1142     148      13       -1.0725840485e-01    -1.2340299779e-01    15.05       43.4  
1172     1175     153      24       -1.0725840485e-01    -1.2332157227e-01    14.98       45.0  
1204     1207     161      24       -1.0725840485e-01    -1.2332064614e-01    14.98       46.7  
1236     1239     167      15       -1.0725840485e-01    -1.2318579617e-01    14.85       48.3  
1268     1271     175      28       -1.0725840485e-01    -1.2318546943e-01    14.85       50.0  
1300     1303     181      12       -1.0725840485e-01    -1.2317767322e-01    14.84       51.6  
1331     1334     190      9        -1.0725840485e-01    -1.2317133213e-01    14.84       53.4  
1363     1366     198      16       -1.0725840485e-01    -1.2313963509e-01    14.81       55.1  
1396     1399     197      33       -1.0725840485e-01    -1.2313963509e-01    14.81       56.6  
1428     1431     197      49       -1.0725840485e-01    -1.2313963509e-01    14.81       57.8  
1460     1463     197      65       -1.0725840485e-01    -1.2313963509e-01    14.81       58.9  
1493     1496     198      81       -1.0725840485e-01    -1.2313963509e-01    14.81       59.8  
1526     1529     197      98       -1.0725840485e-01    -1.2313963509e-01    14.81       60.7  
1559     1562     198      114      -1.0725840485e-01    -1.2313963509e-01    14.81       61.4  
1592     1595     197      131      -1.0725840485e-01    -1.2313963509e-01    14.81       62.0  
1625     1628     198      147      -1.0725840485e-01    -1.2313963509e-01    14.81       62.6  
1658     1661     197      16       -1.0725840485e-01    -1.2313879619e-01    14.81       63.3  
1691     1694     204      69       -1.0725840485e-01    -1.2313875084e-01    14.81       65.0  
1724     1727     193      41       -1.0725840485e-01    -1.2303362982e-01    14.71       66.1  
1757     1760     200      20       -1.0725840485e-01    -1.2302795530e-01    14.70       67.8  
1789     1792     208      12       -1.0725840485e-01    -1.2301195014e-01    14.69       69.6  
1821     1824     212      18       -1.0725840485e-01    -1.2300434830e-01    14.68       71.2  
1853     1856     222      14       -1.0725840485e-01    -1.2300434830e-01    14.68       73.1  
1885     1888     230      13       -1.0725840485e-01    -1.2298204336e-01    14.66       74.8  
1918     1921     235      20       -1.0725840485e-01    -1.2290800914e-01    14.59       76.5  
1951     1954     234      37       -1.0725840485e-01    -1.2290800914e-01    14.59       77.8  
1984     1987     235      53       -1.0725840485e-01    -1.2290800914e-01    14.59       79.0  
2016     2019     235      69       -1.0725840485e-01    -1.2290800914e-01    14.59       80.1  
2049     2052     234      86       -1.0725840485e-01    -1.2290800914e-01    14.59       81.0  
2082     2085     235      102      -1.0725840485e-01    -1.2290800914e-01    14.59       81.7  
2115     2118     234      119      -1.0725840485e-01    -1.2290800914e-01    14.59       82.4  
2148     2151     235      135      -1.0725840485e-01    -1.2290800914e-01    14.59       83.0  
2181     2184     234      152      -1.0725840485e-01    -1.2290800914e-01    14.59       83.5  
2215     2218     234      169      -1.0725840485e-01    -1.2290800914e-01    14.59       84.0  
2248     2251     239      18       -1.0725840485e-01    -1.2290800914e-01    14.59       85.3  
2280     2283     245      27       -1.0725840485e-01    -1.2282657878e-01    14.51       86.9  
2312     2315     255      19       -1.0725840485e-01    -1.2280908599e-01    14.50       88.8  
2345     2348     258      22       -1.0725840485e-01    -1.2275703837e-01    14.45       90.4  
2378     2381     265      24       -1.0725840485e-01    -1.2272854194e-01    14.42       92.1  
2411     2414     272      11       -1.0725840485e-01    -1.2272714443e-01    14.42       93.7  
2443     2446     280      18       -1.0725840485e-01    -1.2266118786e-01    14.36       95.4  
2476     2479     285      27       -1.0725840485e-01    -1.2264801061e-01    14.35       97.0  
2508     2511     287      29       -1.0725840485e-01    -1.2264750951e-01    14.35       98.4  
2541     2544     288      45       -1.0725840485e-01    -1.2264750951e-01    14.35       99.6  
2573     2576     288      61       -1.0725840485e-01    -1.2264750951e-01    14.35       100.7 
