instance_type,command
m4.xlarge,PAJ_CPLEX_MOSEK 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_CPLEX_MOSEK_subopt52 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_MSD_CPLEX_MOSEK 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_CPLEX_MOSEK_noabslift 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_MSD_CPLEX_MOSEK_noabslift 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_CPLEX_MOSEK_noscale 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_MSD_CPLEX_MOSEK_noscale 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_CPLEX_MOSEK_violonly 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_MSD_CPLEX_MOSEK_violonly 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_CPLEX_PRON 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_MSD_CPLEX_PRON 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
m4.xlarge,PAJ_MSD_CPLEX_MOSEK_PRAL 3600 14000000 instancedata/cblib-soc/ instancesets/soc_test.txt
